,Location,Period,Indicator,First Tooltip
54,Armenia,2009,"Dentists (per 10,000)",4.31
55,Armenia,2008,"Dentists (per 10,000)",4.12
56,Armenia,2007,"Dentists (per 10,000)",3.44
57,Armenia,2006,"Dentists (per 10,000)",3.19
58,Armenia,2005,"Dentists (per 10,000)",3.22
59,Armenia,2004,"Dentists (per 10,000)",2.35
60,Armenia,2003,"Dentists (per 10,000)",2.08
61,Armenia,2002,"Dentists (per 10,000)",1.93
62,Armenia,2001,"Dentists (per 10,000)",1.69
63,Armenia,2000,"Dentists (per 10,000)",2.42
64,Australia,2017,"Dentists (per 10,000)",5.95
65,Australia,2016,"Dentists (per 10,000)",5.86
66,Australia,2015,"Dentists (per 10,000)",5.78
67,Australia,2014,"Dentists (per 10,000)",5.71
68,Australia,2013,"Dentists (per 10,000)",5.61
69,Australia,2012,"Dentists (per 10,000)",5.57
70,Australia,2011,"Dentists (per 10,000)",5.35
71,Australia,2010,"Dentists (per 10,000)",5.18
72,Australia,2009,"Dentists (per 10,000)",5.27
73,Australia,2006,"Dentists (per 10,000)",4.87
74,Australia,2005,"Dentists (per 10,000)",4.99
75,Australia,2001,"Dentists (per 10,000)",4.27
76,Australia,1996,"Dentists (per 10,000)",12.82
77,Austria,2017,"Dentists (per 10,000)",5.68
78,Austria,2016,"Dentists (per 10,000)",5.66
79,Austria,2015,"Dentists (per 10,000)",5.65
80,Austria,2014,"Dentists (per 10,000)",5.68
81,Austria,2013,"Dentists (per 10,000)",5.67
82,Austria,2012,"Dentists (per 10,000)",5.64
83,Austria,2011,"Dentists (per 10,000)",5.61
84,Austria,2010,"Dentists (per 10,000)",5.57
85,Austria,2009,"Dentists (per 10,000)",5.52
86,Austria,2008,"Dentists (per 10,000)",5.45
87,Austria,2007,"Dentists (per 10,000)",5.4
88,Austria,2006,"Dentists (per 10,000)",5.39
89,Austria,2005,"Dentists (per 10,000)",5.13
90,Austria,2004,"Dentists (per 10,000)",5.01
91,Austria,2003,"Dentists (per 10,000)",4.94
92,Austria,2002,"Dentists (per 10,000)",4.86
93,Austria,2001,"Dentists (per 10,000)",4.79
94,Austria,2000,"Dentists (per 10,000)",4.61
95,Austria,1999,"Dentists (per 10,000)",4.55
96,Austria,1998,"Dentists (per 10,000)",
97,Austria,1997,"Dentists (per 10,000)",4.5
98,Austria,1996,"Dentists (per 10,000)",4.38
99,Austria,1995,"Dentists (per 10,000)",4.23
100,Austria,1994,"Dentists (per 10,000)",4.12
101,Austria,1993,"Dentists (per 10,000)",3.99
102,Austria,1992,"Dentists (per 10,000)",3.83
103,Austria,1991,"Dentists (per 10,000)",3.72
104,Austria,1990,"Dentists (per 10,000)",3.59
105,Azerbaijan,2014,"Dentists (per 10,000)",2.74
106,Azerbaijan,2013,"Dentists (per 10,000)",2.61
107,Azerbaijan,2012,"Dentists (per 10,000)",2.66
108,Azerbaijan,2011,"Dentists (per 10,000)",2.63
109,Azerbaijan,2010,"Dentists (per 10,000)",2.73
110,Azerbaijan,2009,"Dentists (per 10,000)",
111,Azerbaijan,2008,"Dentists (per 10,000)",2.82
112,Azerbaijan,2007,"Dentists (per 10,000)",2.89
113,Azerbaijan,2006,"Dentists (per 10,000)",2.82
114,Azerbaijan,2005,"Dentists (per 10,000)",2.8
115,Azerbaijan,2004,"Dentists (per 10,000)",2.75
116,Azerbaijan,2003,"Dentists (per 10,000)",2.72
117,Azerbaijan,2002,"Dentists (per 10,000)",2.81
118,Azerbaijan,2001,"Dentists (per 10,000)",2.75
119,Azerbaijan,2000,"Dentists (per 10,000)",2.75
120,Azerbaijan,1999,"Dentists (per 10,000)",2.78
121,Azerbaijan,1998,"Dentists (per 10,000)",2.85
122,Azerbaijan,1997,"Dentists (per 10,000)",3.06
123,Azerbaijan,1996,"Dentists (per 10,000)",3.16
124,Azerbaijan,1995,"Dentists (per 10,000)",
125,Azerbaijan,1994,"Dentists (per 10,000)",3.21
126,Azerbaijan,1993,"Dentists (per 10,000)",
127,Azerbaijan,1992,"Dentists (per 10,000)",3.07
128,Azerbaijan,1991,"Dentists (per 10,000)",3.02
129,Azerbaijan,1990,"Dentists (per 10,000)",2.99
130,Bahamas,2017,"Dentists (per 10,000)",2.67
131,Bahamas,2011,"Dentists (per 10,000)",
132,Bahamas,2008,"Dentists (per 10,000)",2.3
133,Bahrain,2015,"Dentists (per 10,000)",0.98
134,Bahrain,2014,"Dentists (per 10,000)",0.98
135,Bahrain,2013,"Dentists (per 10,000)",1.02
136,Bahrain,2012,"Dentists (per 10,000)",1.07
137,Bahrain,2011,"Dentists (per 10,000)",0.99
138,Bahrain,2010,"Dentists (per 10,000)",0.98
139,Bahrain,2009,"Dentists (per 10,000)",1.0
140,Bahrain,2008,"Dentists (per 10,000)",1.07
141,Bahrain,2006,"Dentists (per 10,000)",1.08
142,Bahrain,2005,"Dentists (per 10,000)",
143,Bahrain,2004,"Dentists (per 10,000)",2.17
144,Bangladesh,2019,"Dentists (per 10,000)",0.59
145,Bangladesh,2018,"Dentists (per 10,000)",0.6
146,Bangladesh,2017,"Dentists (per 10,000)",0.51
147,Bangladesh,2016,"Dentists (per 10,000)",0.44
148,Bangladesh,2015,"Dentists (per 10,000)",0.42
149,Bangladesh,2014,"Dentists (per 10,000)",0.41
150,Bangladesh,2013,"Dentists (per 10,000)",0.4
151,Bangladesh,2012,"Dentists (per 10,000)",0.32
152,Bangladesh,2011,"Dentists (per 10,000)",0.32
153,Bangladesh,2010,"Dentists (per 10,000)",0.29
154,Bangladesh,2009,"Dentists (per 10,000)",0.26
155,Bangladesh,2008,"Dentists (per 10,000)",0.23
156,Bangladesh,2007,"Dentists (per 10,000)",
157,Bangladesh,2005,"Dentists (per 10,000)",0.17
158,Bangladesh,2004,"Dentists (per 10,000)",0.14
159,Bangladesh,2002,"Dentists (per 10,000)",0.14
160,Barbados,2017,"Dentists (per 10,000)",3.08
161,Barbados,2005,"Dentists (per 10,000)",3.0
162,Barbados,2001,"Dentists (per 10,000)",2.2
163,Barbados,1995,"Dentists (per 10,000)",1.88
164,Belarus,2018,"Dentists (per 10,000)",6.23
165,Belarus,2015,"Dentists (per 10,000)",5.92
166,Belarus,2014,"Dentists (per 10,000)",5.74
167,Belarus,2013,"Dentists (per 10,000)",5.51
168,Belarus,2012,"Dentists (per 10,000)",5.52
169,Belarus,2011,"Dentists (per 10,000)",5.44
170,Belarus,2010,"Dentists (per 10,000)",5.4
171,Belarus,2009,"Dentists (per 10,000)",
172,Belarus,2008,"Dentists (per 10,000)",5.41
173,Belarus,2007,"Dentists (per 10,000)",5.05
174,Belarus,2006,"Dentists (per 10,000)",4.88
175,Belarus,2005,"Dentists (per 10,000)",4.76
176,Belarus,2004,"Dentists (per 10,000)",
177,Belarus,2003,"Dentists (per 10,000)",4.46
178,Belarus,2002,"Dentists (per 10,000)",4.49
179,Belarus,2001,"Dentists (per 10,000)",4.48
180,Belarus,2000,"Dentists (per 10,000)",4.54
181,Belarus,1999,"Dentists (per 10,000)",4.53
182,Belarus,1998,"Dentists (per 10,000)",4.15
183,Belarus,1997,"Dentists (per 10,000)",3.99
184,Belarus,1996,"Dentists (per 10,000)",3.87
185,Belarus,1995,"Dentists (per 10,000)",3.67
186,Belarus,1994,"Dentists (per 10,000)",3.61
187,Belarus,1993,"Dentists (per 10,000)",3.48
188,Belarus,1992,"Dentists (per 10,000)",
189,Belarus,1991,"Dentists (per 10,000)",3.23
190,Belarus,1990,"Dentists (per 10,000)",3.19
191,Belgium,2018,"Dentists (per 10,000)",
192,Belgium,2017,"Dentists (per 10,000)",7.46
193,Belgium,2016,"Dentists (per 10,000)",7.47
194,Belgium,2015,"Dentists (per 10,000)",7.35
195,Belgium,2014,"Dentists (per 10,000)",7.23
196,Belgium,2013,"Dentists (per 10,000)",
197,Belgium,2012,"Dentists (per 10,000)",7.1
198,Belgium,2011,"Dentists (per 10,000)",7.06
199,Belgium,2010,"Dentists (per 10,000)",7.02
200,Belgium,2009,"Dentists (per 10,000)",
201,Belgium,2008,"Dentists (per 10,000)",7.11
202,Belgium,2007,"Dentists (per 10,000)",7.18
203,Belgium,2006,"Dentists (per 10,000)",7.3
204,Belgium,2005,"Dentists (per 10,000)",7.3
205,Belgium,2004,"Dentists (per 10,000)",7.36
206,Belgium,2003,"Dentists (per 10,000)",7.37
207,Belgium,2002,"Dentists (per 10,000)",
208,Belgium,2001,"Dentists (per 10,000)",7.44
209,Belgium,2000,"Dentists (per 10,000)",7.45
210,Belgium,1999,"Dentists (per 10,000)",8.12
211,Belgium,1998,"Dentists (per 10,000)",
212,Belgium,1997,"Dentists (per 10,000)",7.92
213,Belgium,1996,"Dentists (per 10,000)",7.83
214,Belgium,1995,"Dentists (per 10,000)",7.71
215,Belgium,1994,"Dentists (per 10,000)",7.55
216,Belgium,1993,"Dentists (per 10,000)",7.51
217,Belgium,1992,"Dentists (per 10,000)",7.47
218,Belgium,1991,"Dentists (per 10,000)",7.38
219,Belgium,1990,"Dentists (per 10,000)",7.28
220,Belize,2019,"Dentists (per 10,000)",1.38
221,Belize,2017,"Dentists (per 10,000)",1.54
222,Belize,2010,"Dentists (per 10,000)",0.37
223,Belize,2009,"Dentists (per 10,000)",0.38
224,Belize,2000,"Dentists (per 10,000)",1.29
225,Benin,2018,"Dentists (per 10,000)",0.01
226,Benin,2016,"Dentists (per 10,000)",0.008
227,Benin,2008,"Dentists (per 10,000)",0.043
228,Benin,2004,"Dentists (per 10,000)",0.014
229,Bhutan,2019,"Dentists (per 10,000)",0.77
230,Bhutan,2018,"Dentists (per 10,000)",0.8
231,Bhutan,2017,"Dentists (per 10,000)",0.9
232,Bhutan,2007,"Dentists (per 10,000)",0.11
233,Bhutan,2004,"Dentists (per 10,000)",0.16
234,Bolivia (Plurinational State of),2016,"Dentists (per 10,000)",2.2
235,Bolivia (Plurinational State of),2011,"Dentists (per 10,000)",1.11
236,Bolivia (Plurinational State of),2010,"Dentists (per 10,000)",
237,Bolivia (Plurinational State of),2007,"Dentists (per 10,000)",
238,Bosnia and Herzegovina,2015,"Dentists (per 10,000)",2.4
239,Bosnia and Herzegovina,2014,"Dentists (per 10,000)",2.37
240,Bosnia and Herzegovina,2013,"Dentists (per 10,000)",
241,Bosnia and Herzegovina,2012,"Dentists (per 10,000)",
242,Bosnia and Herzegovina,2011,"Dentists (per 10,000)",2.21
243,Bosnia and Herzegovina,2010,"Dentists (per 10,000)",2.15
244,Bosnia and Herzegovina,2009,"Dentists (per 10,000)",
245,Bosnia and Herzegovina,2008,"Dentists (per 10,000)",1.8
246,Bosnia and Herzegovina,2007,"Dentists (per 10,000)",1.99
247,Bosnia and Herzegovina,2006,"Dentists (per 10,000)",2.05
248,Bosnia and Herzegovina,2005,"Dentists (per 10,000)",
249,Bosnia and Herzegovina,2004,"Dentists (per 10,000)",1.92
250,Bosnia and Herzegovina,2003,"Dentists (per 10,000)",1.22
251,Bosnia and Herzegovina,2002,"Dentists (per 10,000)",1.83
252,Bosnia and Herzegovina,2001,"Dentists (per 10,000)",1.81
253,Bosnia and Herzegovina,2000,"Dentists (per 10,000)",1.93
254,Bosnia and Herzegovina,1999,"Dentists (per 10,000)",
255,Bosnia and Herzegovina,1991,"Dentists (per 10,000)",3.08
256,Bosnia and Herzegovina,1990,"Dentists (per 10,000)",3.16
257,Botswana,2016,"Dentists (per 10,000)",0.42
258,Botswana,2012,"Dentists (per 10,000)",0.27
259,Botswana,2011,"Dentists (per 10,000)",0.27
260,Botswana,2010,"Dentists (per 10,000)",0.28
261,Botswana,2009,"Dentists (per 10,000)",0.28
262,Botswana,2008,"Dentists (per 10,000)",0.094
263,Botswana,2007,"Dentists (per 10,000)",0.17
264,Botswana,2004,"Dentists (per 10,000)",0.22
265,Brazil,2017,"Dentists (per 10,000)",12.45
266,Brazil,2010,"Dentists (per 10,000)",11.4
267,Brazil,2009,"Dentists (per 10,000)",11.94
268,Brazil,2008,"Dentists (per 10,000)",11.83
269,Brazil,2007,"Dentists (per 10,000)",11.56
270,Brazil,2006,"Dentists (per 10,000)",11.54
271,Brazil,2005,"Dentists (per 10,000)",11.17
272,Brazil,2004,"Dentists (per 10,000)",9.68
273,Brazil,2003,"Dentists (per 10,000)",9.4
274,Brazil,2002,"Dentists (per 10,000)",9.09
275,Brazil,2001,"Dentists (per 10,000)",8.72
276,Brazil,2000,"Dentists (per 10,000)",8.78
277,Brazil,1999,"Dentists (per 10,000)",
278,Brazil,1998,"Dentists (per 10,000)",8.15
279,Brazil,1997,"Dentists (per 10,000)",6.14
280,Brunei Darussalam,2019,"Dentists (per 10,000)",2.54
281,Brunei Darussalam,2015,"Dentists (per 10,000)",2.27
282,Brunei Darussalam,2012,"Dentists (per 10,000)",2.36
283,Brunei Darussalam,2011,"Dentists (per 10,000)",2.41
284,Brunei Darussalam,2010,"Dentists (per 10,000)",2.21
285,Brunei Darussalam,2009,"Dentists (per 10,000)",1.88
286,Brunei Darussalam,2008,"Dentists (per 10,000)",
287,Brunei Darussalam,2007,"Dentists (per 10,000)",2.16
288,Brunei Darussalam,2006,"Dentists (per 10,000)",2.03
289,Brunei Darussalam,2005,"Dentists (per 10,000)",2.0
290,Brunei Darussalam,2004,"Dentists (per 10,000)",1.89
291,Brunei Darussalam,2002,"Dentists (per 10,000)",2.02
292,Brunei Darussalam,2000,"Dentists (per 10,000)",1.44
293,Bulgaria,2015,"Dentists (per 10,000)",10.48
294,Bulgaria,2014,"Dentists (per 10,000)",9.74
295,Bulgaria,2013,"Dentists (per 10,000)",10.0
296,Bulgaria,2012,"Dentists (per 10,000)",9.2
297,Bulgaria,2011,"Dentists (per 10,000)",9.06
298,Bulgaria,2010,"Dentists (per 10,000)",8.61
299,Bulgaria,2009,"Dentists (per 10,000)",8.74
300,Bulgaria,2008,"Dentists (per 10,000)",8.39
301,Bulgaria,2007,"Dentists (per 10,000)",8.53
302,Bulgaria,2006,"Dentists (per 10,000)",8.57
303,Bulgaria,2005,"Dentists (per 10,000)",8.48
304,Bulgaria,2004,"Dentists (per 10,000)",
305,Bulgaria,2003,"Dentists (per 10,000)",8.3
306,Bulgaria,2002,"Dentists (per 10,000)",7.81
307,Bulgaria,2001,"Dentists (per 10,000)",8.17
308,Bulgaria,2000,"Dentists (per 10,000)",8.48
309,Bulgaria,1999,"Dentists (per 10,000)",5.77
310,Bulgaria,1998,"Dentists (per 10,000)",5.95
311,Bulgaria,1997,"Dentists (per 10,000)",6.38
312,Bulgaria,1996,"Dentists (per 10,000)",6.62
313,Bulgaria,1995,"Dentists (per 10,000)",6.54
314,Bulgaria,1994,"Dentists (per 10,000)",6.54
315,Bulgaria,1993,"Dentists (per 10,000)",6.68
316,Bulgaria,1992,"Dentists (per 10,000)",
317,Bulgaria,1991,"Dentists (per 10,000)",6.73
318,Bulgaria,1990,"Dentists (per 10,000)",6.91
319,Burkina Faso,2018,"Dentists (per 10,000)",0.046
320,Burkina Faso,2017,"Dentists (per 10,000)",
321,Burkina Faso,2012,"Dentists (per 10,000)",0.023
322,Burkina Faso,2010,"Dentists (per 10,000)",0.021
323,Burkina Faso,2004,"Dentists (per 10,000)",0.045
324,Burundi,2013,"Dentists (per 10,000)",0.004
325,Burundi,2011,"Dentists (per 10,000)",0.002
326,Burundi,2010,"Dentists (per 10,000)",
327,Burundi,2004,"Dentists (per 10,000)",0.02
328,Cabo Verde,2016,"Dentists (per 10,000)",0.075
329,Cabo Verde,2011,"Dentists (per 10,000)",0.06
330,Cabo Verde,2010,"Dentists (per 10,000)",
331,Cabo Verde,2009,"Dentists (per 10,000)",0.062
332,Cabo Verde,2008,"Dentists (per 10,000)",0.062
333,Cabo Verde,2007,"Dentists (per 10,000)",0.063
334,Cabo Verde,2006,"Dentists (per 10,000)",0.064
335,Cambodia,2014,"Dentists (per 10,000)",0.17
336,Cambodia,2013,"Dentists (per 10,000)",0.16
337,Cambodia,2012,"Dentists (per 10,000)",0.15
338,Cambodia,2011,"Dentists (per 10,000)",0.2
339,Cambodia,2010,"Dentists (per 10,000)",0.17
340,Cambodia,2009,"Dentists (per 10,000)",0.17
341,Cambodia,2008,"Dentists (per 10,000)",0.19
342,Cambodia,2000,"Dentists (per 10,000)",0.17
343,Cambodia,1998,"Dentists (per 10,000)",
344,Cambodia,1996,"Dentists (per 10,000)",0.058
345,Cameroon,2016,"Dentists (per 10,000)",0.037
346,Cameroon,2011,"Dentists (per 10,000)",0.028
347,Cameroon,2010,"Dentists (per 10,000)",0.029
348,Cameroon,2009,"Dentists (per 10,000)",0.016
349,Cameroon,2007,"Dentists (per 10,000)",0.021
350,Cameroon,2005,"Dentists (per 10,000)",0.015
351,Canada,2016,"Dentists (per 10,000)",6.39
352,Central African Republic,2018,"Dentists (per 10,000)",0.024
353,Central African Republic,2009,"Dentists (per 10,000)",0.009
354,Central African Republic,2008,"Dentists (per 10,000)",0.012
355,Central African Republic,2004,"Dentists (per 10,000)",0.015
356,Chad,2019,"Dentists (per 10,000)",0.018
357,Chad,2004,"Dentists (per 10,000)",0.007
358,Chile,2018,"Dentists (per 10,000)",12.55
359,Chile,2017,"Dentists (per 10,000)",11.86
360,Chile,2016,"Dentists (per 10,000)",10.5
361,Chile,2015,"Dentists (per 10,000)",
362,Chile,2014,"Dentists (per 10,000)",9.08
363,Chile,2013,"Dentists (per 10,000)",8.19
364,Chile,2012,"Dentists (per 10,000)",7.07
365,Chile,2011,"Dentists (per 10,000)",5.94
366,Chile,2010,"Dentists (per 10,000)",5.61
367,Chile,2009,"Dentists (per 10,000)",0.009
368,Chile,2008,"Dentists (per 10,000)",0.008
369,Chile,2007,"Dentists (per 10,000)",0.008
370,Chile,2006,"Dentists (per 10,000)",0.009
371,Chile,2005,"Dentists (per 10,000)",0.007
372,Chile,2004,"Dentists (per 10,000)",0.007
373,Chile,2003,"Dentists (per 10,000)",0.008
374,Chile,2002,"Dentists (per 10,000)",0.006
375,China,2017,"Dentists (per 10,000)",4.46
376,China,2011,"Dentists (per 10,000)",0.86
377,China,2005,"Dentists (per 10,000)",0.38
378,Colombia,2015,"Dentists (per 10,000)",9.74
379,Colombia,2010,"Dentists (per 10,000)",9.92
380,Colombia,2009,"Dentists (per 10,000)",9.68
381,Colombia,2008,"Dentists (per 10,000)",
382,Colombia,2007,"Dentists (per 10,000)",9.22
383,Colombia,2006,"Dentists (per 10,000)",8.99
384,Colombia,2005,"Dentists (per 10,000)",8.76
385,Colombia,2004,"Dentists (per 10,000)",8.54
386,Colombia,2003,"Dentists (per 10,000)",8.32
387,Colombia,2002,"Dentists (per 10,000)",8.31
388,Colombia,2001,"Dentists (per 10,000)",7.88
389,Colombia,2000,"Dentists (per 10,000)",7.66
390,Colombia,1999,"Dentists (per 10,000)",7.41
391,Colombia,1998,"Dentists (per 10,000)",7.17
392,Colombia,1997,"Dentists (per 10,000)",
393,Colombia,1996,"Dentists (per 10,000)",6.6
394,Colombia,1995,"Dentists (per 10,000)",6.31
395,Colombia,1994,"Dentists (per 10,000)",6.05
396,Colombia,1993,"Dentists (per 10,000)",5.87
397,Colombia,1992,"Dentists (per 10,000)",5.66
398,Colombia,1991,"Dentists (per 10,000)",5.39
399,Colombia,1990,"Dentists (per 10,000)",5.07
400,Comoros,2018,"Dentists (per 10,000)",0.4
401,Comoros,2012,"Dentists (per 10,000)",0.25
402,Comoros,2009,"Dentists (per 10,000)",
403,Comoros,2005,"Dentists (per 10,000)",0.28
404,Comoros,2004,"Dentists (per 10,000)",0.29
405,Congo,2011,"Dentists (per 10,000)",0.3
406,Congo,1998,"Dentists (per 10,000)",0.34
407,Cook Islands,2019,"Dentists (per 10,000)",3.42
408,Cook Islands,2014,"Dentists (per 10,000)",12.43
409,Cook Islands,2009,"Dentists (per 10,000)",2.15
410,Cook Islands,2004,"Dentists (per 10,000)",5.29
411,Cook Islands,2001,"Dentists (per 10,000)",5.56
412,Costa Rica,2017,"Dentists (per 10,000)",0.099
413,Costa Rica,2016,"Dentists (per 10,000)",1.4
414,Costa Rica,2015,"Dentists (per 10,000)",1.45
415,Costa Rica,2013,"Dentists (per 10,000)",1.26
416,Costa Rica,2000,"Dentists (per 10,000)",3.7
417,Côte d’Ivoire,2019,"Dentists (per 10,000)",
418,Côte d’Ivoire,2014,"Dentists (per 10,000)",0.22
419,Côte d’Ivoire,2008,"Dentists (per 10,000)",0.14
420,Côte d’Ivoire,2005,"Dentists (per 10,000)",0.11
421,Côte d’Ivoire,2004,"Dentists (per 10,000)",0.19
422,Croatia,2015,"Dentists (per 10,000)",7.91
423,Croatia,2014,"Dentists (per 10,000)",7.82
424,Croatia,2013,"Dentists (per 10,000)",7.54
425,Croatia,2012,"Dentists (per 10,000)",7.5
426,Croatia,2011,"Dentists (per 10,000)",7.33
427,Croatia,2010,"Dentists (per 10,000)",7.3
428,Croatia,2009,"Dentists (per 10,000)",7.59
429,Croatia,2008,"Dentists (per 10,000)",7.56
430,Croatia,2007,"Dentists (per 10,000)",7.48
431,Croatia,2006,"Dentists (per 10,000)",7.39
432,Croatia,2005,"Dentists (per 10,000)",
433,Croatia,2004,"Dentists (per 10,000)",7.28
434,Croatia,2003,"Dentists (per 10,000)",7.03
435,Croatia,2002,"Dentists (per 10,000)",6.89
436,Croatia,2001,"Dentists (per 10,000)",6.85
437,Croatia,2000,"Dentists (per 10,000)",6.72
438,Croatia,1999,"Dentists (per 10,000)",6.55
439,Croatia,1998,"Dentists (per 10,000)",6.59
440,Croatia,1997,"Dentists (per 10,000)",6.26
441,Croatia,1996,"Dentists (per 10,000)",6.05
442,Croatia,1995,"Dentists (per 10,000)",5.79
443,Croatia,1994,"Dentists (per 10,000)",
444,Croatia,1993,"Dentists (per 10,000)",5.7
445,Croatia,1992,"Dentists (per 10,000)",4.29
446,Croatia,1991,"Dentists (per 10,000)",
447,Croatia,1990,"Dentists (per 10,000)",4.74
448,Cuba,2017,"Dentists (per 10,000)",16.81
449,Cuba,2014,"Dentists (per 10,000)",14.71
450,Cuba,2013,"Dentists (per 10,000)",13.52
451,Cuba,2012,"Dentists (per 10,000)",12.44
452,Cuba,2011,"Dentists (per 10,000)",
453,Cuba,2010,"Dentists (per 10,000)",10.82
454,Cuba,2009,"Dentists (per 10,000)",10.31
455,Cuba,2008,"Dentists (per 10,000)",10.0
456,Cuba,2007,"Dentists (per 10,000)",9.68
457,Cuba,2006,"Dentists (per 10,000)",9.55
458,Cuba,2005,"Dentists (per 10,000)",9.37
459,Cuba,2004,"Dentists (per 10,000)",9.29
460,Cuba,2003,"Dentists (per 10,000)",9.05
461,Cuba,2002,"Dentists (per 10,000)",8.89
462,Cuba,2001,"Dentists (per 10,000)",8.85
463,Cuba,2000,"Dentists (per 10,000)",8.91
464,Cuba,1999,"Dentists (per 10,000)",8.95
465,Cuba,1998,"Dentists (per 10,000)",8.94
466,Cuba,1997,"Dentists (per 10,000)",
467,Cuba,1996,"Dentists (per 10,000)",8.78
468,Cuba,1995,"Dentists (per 10,000)",8.4
469,Cuba,1994,"Dentists (per 10,000)",8.15
470,Cuba,1993,"Dentists (per 10,000)",7.91
471,Cuba,1992,"Dentists (per 10,000)",7.5
472,Cuba,1991,"Dentists (per 10,000)",7.04
473,Cuba,1990,"Dentists (per 10,000)",
474,Cyprus,2015,"Dentists (per 10,000)",7.55
475,Cyprus,2014,"Dentists (per 10,000)",
476,Cyprus,2013,"Dentists (per 10,000)",
477,Cyprus,2012,"Dentists (per 10,000)",7.19
478,Cyprus,2011,"Dentists (per 10,000)",6.96
479,Cyprus,2010,"Dentists (per 10,000)",6.94
480,Cyprus,2009,"Dentists (per 10,000)",6.89
481,Cyprus,2008,"Dentists (per 10,000)",6.87
482,Cyprus,2007,"Dentists (per 10,000)",6.8
483,Cyprus,2006,"Dentists (per 10,000)",6.84
484,Cyprus,2005,"Dentists (per 10,000)",7.08
485,Cyprus,2004,"Dentists (per 10,000)",6.9
486,Cyprus,2003,"Dentists (per 10,000)",6.75
487,Cyprus,2002,"Dentists (per 10,000)",6.65
488,Cyprus,2001,"Dentists (per 10,000)",
489,Cyprus,2000,"Dentists (per 10,000)",6.56
490,Cyprus,1999,"Dentists (per 10,000)",6.52
491,Cyprus,1998,"Dentists (per 10,000)",6.46
492,Cyprus,1997,"Dentists (per 10,000)",6.43
493,Cyprus,1996,"Dentists (per 10,000)",6.38
494,Cyprus,1995,"Dentists (per 10,000)",6.35
495,Cyprus,1994,"Dentists (per 10,000)",6.3
496,Cyprus,1993,"Dentists (per 10,000)",6.08
497,Cyprus,1992,"Dentists (per 10,000)",
498,Cyprus,1991,"Dentists (per 10,000)",5.89
499,Cyprus,1990,"Dentists (per 10,000)",5.58
500,Czechia,2018,"Dentists (per 10,000)",7.35
501,Czechia,2017,"Dentists (per 10,000)",7.44
502,Czechia,2016,"Dentists (per 10,000)",
503,Czechia,2015,"Dentists (per 10,000)",7.98
